run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
68,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,60.33839099109173,,,5.193891003727913,6.3839100766927,12.286418117582798,58.84090601466596,65.53228199481964,
69,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.90195904672146,,,3.710721852257848,5.415875930339098,11.44517189823091,54.13103196769953,56.612680898979306,
70,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.45122891291976,,,5.933074979111552,7.573538925498724,13.207362964749336,56.64773704484105,62.38430389203131,
71,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,67.95037211850286,,,6.756918970495462,11.16664009168744,17.824263079091907,65.1959020178765,74.70729108899832,
72,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,67.6260651089251,,,9.796383092179894,11.123910080641508,17.36429100856185,64.1271302010864,77.422448201105,
73,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.4991621542722,,,4.154874011874199,8.140931138768792,21.266191033646464,57.38449702039361,61.6540361661464,
74,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.45452483743429,53.4690017811954,0.014476943761110306,1.966293202713132,,,52.09533800370991,55.420818040147424,55.435294983908534
75,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.77387914247811,,,2.7923418674618006,4.040158819407225,7.035811897367239,53.32353990525007,55.56622100993991,
76,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.47965604253113,,,2.402990823611617,3.965468844398856,7.653357926756144,52.994021913036704,56.88264686614275,
77,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.56685584411025,,,3.1437890138477087,4.44923504255712,8.526704041287303,53.541747853159904,56.71064485795796,
78,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.59535897150636,53.607441019266844,0.012082047760486603,2.804403891786933,,,53.79077489487827,56.39976286329329,56.41184491105378
79,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.28233283944428,,,2.0691060926765203,3.3676689490675926,6.595226004719734,52.44892090559006,55.3514389321208,
80,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.18928519450128,55.19756115972996,0.008275965228676796,2.695809816941619,,,52.792364032939076,57.8850950114429,57.89337097667158
81,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.46645717509091,,,1.7217248678207397,4.9278519582003355,7.810030831024051,52.004226949065924,55.18818204291165,
82,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.43941692262888,,,2.504101023077965,5.7110588531941175,10.907304007560015,52.868376951664686,55.943517945706844,
83,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.18505014292896,,,4.42713382653892,7.661583833396435,12.20369292423129,54.66684582643211,57.61218396946788,
84,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.33383188210428,,,2.8912171255797148,6.145734107121825,10.528335114941001,53.218903951346874,57.22504900768399,
85,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.6910110861063,54.70160092227161,0.010589836165308952,3.3793810289353132,,,53.49337705411017,58.070392115041614,58.08098195120692
86,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.85175493918359,,,2.1780498791486025,5.503970896825194,11.610771995037794,52.57593793794513,55.029804818332195,
87,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.071397822350264,,,2.088582143187523,5.333621986210346,9.544790955260396,52.48564900830388,55.15997996553779,
88,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.99729807302356,,,2.6063029654324055,5.853296024724841,12.203031918033957,52.94266599230468,55.60360103845596,
89,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.64414590783417,52.653172984719276,0.00902707688510418,1.343396957963705,,,51.413401030004025,53.98754286579788,53.99656994268298
90,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.2021620310843,53.21520706638694,0.013045035302639008,2.3582878056913614,,,52.455041790381074,55.56044983677566,55.5734948720783
91,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.798636024817824,,,2.662738785147667,6.07666396535933,9.87521093338728,53.09878778643906,55.46137480996549,
92,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.44191808439791,55.45251700095832,0.010598916560411453,3.6563710309565067,,,53.75739303417504,59.09828911535442,59.10888803191483
93,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.40753705240786,,,4.247977863997221,7.476886967197061,10.70415391586721,54.69301505945623,57.65551491640508,
94,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.98921009711921,,,3.1918289605528116,7.392209023237228,10.827283840626478,54.971986915916204,58.181039057672024,
95,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.06699895299971,,,4.822834860533476,8.100264938548207,12.056656880304217,55.11746997945011,57.88983381353319,
96,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.75861197151244,52.76898085139692,0.01036887988448143,2.509501064196229,,,52.61466093361378,55.268113035708666,55.27848191559315
97,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.20256296545267,,,1.9601720850914717,5.206674104556441,8.297404972836375,52.46183509007096,55.16273505054414,
98,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.709469106048346,52.718125050887465,0.008655944839119911,2.6943678967654705,,,52.78950906358659,55.403837002813816,55.412492947652936
99,1,3,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.76175704784691,,,2.146600978448987,5.360201932489872,8.649904979392886,52.424494875594974,54.9083580262959,
100,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.85357893444598,52.864949917420745,0.011370982974767685,1.8565680366009474,,,51.961767952889204,54.710146971046925,54.72151795402169
