run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
102,1,3,50.0,1,53.23522794060409,,,3.0089840292930603,6.300366949290037,9.957095957361162,56.24421196989715,1,0,0,REVOKE,context_version_changed_at_publish
103,1,3,50.0,1,53.57970402110368,,,2.3133789654821157,5.54055196698755,7.681578048504889,55.893082986585796,1,0,0,REVOKE,context_version_changed_at_publish
104,1,3,50.0,1,53.44031099230051,,,2.6088840095326304,5.835785064846277,8.773646084591746,56.04919500183314,1,0,0,REVOKE,context_version_changed_at_publish
105,1,3,50.0,1,52.95497097540647,,,3.4759800182655454,6.704155006445944,9.59565700031817,56.43095099367201,1,0,0,REVOKE,context_version_changed_at_publish
106,0,0,50.0,,52.90576000697911,53.14256390556693,0.23680389858782291,2.1003190195187926,,,55.0060790264979,0,1,0,EXECUTE,published_after_gate_recheck
107,1,3,50.0,1,53.37110091932118,,,2.117362106218934,5.393837112933397,7.914013112895191,55.48846302554011,1,0,0,REVOKE,context_version_changed_at_publish
108,1,3,50.0,1,53.57910296879709,,,2.1491210209205747,5.4546010214835405,9.511930053122342,55.72822398971766,1,0,0,REVOKE,context_version_changed_at_publish
109,1,3,50.0,1,53.73856192454696,,,2.6918189832940698,6.014761980623007,9.09318495541811,56.43038090784103,1,0,0,REVOKE,context_version_changed_at_publish
110,1,3,50.0,1,53.375759976916015,,,2.2164679830893874,5.434132996015251,8.079053019173443,55.5922279600054,1,0,0,REVOKE,context_version_changed_at_publish
111,1,3,50.0,1,54.412867058999836,,,2.1121109602972865,5.447426927275956,8.803891949355602,56.52497801929712,1,0,0,REVOKE,context_version_changed_at_publish
112,1,3,50.0,1,53.42307104729116,,,2.160611911676824,5.362597992643714,7.975618937052786,55.583682958967984,1,0,0,REVOKE,context_version_changed_at_publish
113,1,3,50.0,1,53.19560307543725,,,3.0673829605802894,6.33689493406564,9.032169939018786,56.26298603601754,1,0,0,REVOKE,context_version_changed_at_publish
114,1,3,50.0,1,53.76251705456525,,,2.6087119476869702,5.953465006314218,8.897416992112994,56.37122900225222,1,0,0,REVOKE,context_version_changed_at_publish
115,1,3,50.0,1,53.214848972857,,,3.5519120283424854,6.831933977082372,10.500674950890243,56.766761001199484,1,0,0,REVOKE,context_version_changed_at_publish
116,1,3,50.0,1,53.45590005163103,,,2.772892010398209,6.070467061363161,10.321149020455778,56.22879206202924,1,0,0,REVOKE,context_version_changed_at_publish
117,1,3,50.0,1,53.15013800282031,,,3.1329470220953226,6.398492027074099,9.76149900816381,56.283085024915636,1,0,0,REVOKE,context_version_changed_at_publish
118,1,3,50.0,1,53.249925025738776,,,2.201608964242041,5.495988065376878,8.490203996188939,55.45153398998082,1,0,0,REVOKE,context_version_changed_at_publish
119,0,0,50.0,,53.36061294656247,53.5908950259909,0.23028207942843437,2.43359396699816,,,55.79420691356063,0,1,0,EXECUTE,published_after_gate_recheck
120,1,10,50.0,1,53.32089902367443,,,3.2664359314367175,13.502915971912444,17.088830936700106,56.587334955111146,1,0,0,REVOKE,context_version_changed_at_publish
121,1,10,50.0,1,53.41243103612214,,,2.4582999758422375,12.765793013386428,16.55236491933465,55.87073101196438,1,0,0,REVOKE,context_version_changed_at_publish
122,1,10,50.0,1,53.715499001555145,,,2.7675210731104016,13.015823089517653,15.719844028353691,56.483020074665546,1,0,0,REVOKE,context_version_changed_at_publish
123,1,10,50.0,1,53.61131299287081,,,2.6827120454981923,13.100081006996334,18.106159986928105,56.294025038369,1,0,0,REVOKE,context_version_changed_at_publish
